Generation,Title,Region,Release date,System
Generation I,Pocket Monsters: Red and Green,Kanto region,1996,Game Boy
Generation I,Pocket Monsters: Blue,Kanto region,1996,Game Boy
Generation I,Pokemon Red and Blue,Kanto region,1998,Game Boy
Generation I,Pokemon Yellow,Kanto region,1998,Game Boy
Generation II,Pokemon Gold and Silver,Johto region,1999,Game Boy Color
Generation II,Pokemon Crystal,Johto region,2000,Game Boy Color
Generation III,Pokemon Ruby and Sapphire,Hoenn region,2002,Game Boy Advance
Generation III,Pokemon FireRed and LeafGreen,Sevii Islands region,2004,Game Boy Advance
Generation III,Pokemon Emerald,Hoenn region,2004,Game Boy Advance
Generation IV,Pokemon Diamond and Pearl,Sinnoh region,2006,Nintendo DS
Generation IV,Pokemon Platinum,Sinnoh region,2008,Nintendo DS
Generation IV,Pokemon HeartGold and SoulSilver,Johto region,2009,Nintendo DS
Generation V,Pokemon Black and White,Unova region,2010,Nintendo DS
Generation V,Pokemon Black 2 and White 2,Unova region,2012,Nintendo DS
Generation VI,Pokemon X and Y,Kalos region,2013,Nintendo 3DS
Generation VI,Pokemon Omega Ruby and Alpha Sapphire,Hoenn region,2014,Nintendo 3DS
Generation VII,Pokemon Sun and Moon,Alola region,2016,Nintendo 3DS
Generation VII,Pokemon Ultra Sun and Ultra Moon,Alola region,2017,Nintendo 3DS
Generation VII,"Pokemon: Let's Go, Pikachu! And Let's Go, Eevee!",Kanto region,2018,Nintendo Switch
Generation VIII,Pokemon Sword and Shield,Galar region,2019,Nintendo Switch
Generation VIII,Pokemon Brilliant Diamond and Shining Pearl,Sinnoh region,2021,Nintendo Switch
Generation VIII,Pokemon Legends: Arceus,Hisui region,2022,Nintendo Switch
Generation IX,Pokemon Scarlet and Violet,,2022,Nintendo Switch
